reg_id,registry_id,registry_file,registry_kind,entry_identifier,entry_status,introduced_in_release,ns_refs,cr_refs,entry_digest
REG-001,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,STRUCTURAL_COMPLETENESS,ACTIVE,v2.0.0,NS-6.3-01;NS-6.3-02;NS-6.4-02,CR-036;CR-037;CR-038;CR-043,05218aec60d9d70a2f09dfe8dc9b071255712f96c1e81cb3c3a145257f808686
REG-002,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,SCHEMA_CONFORMANCE,ACTIVE,v2.0.0,NS-6.4-02;NS-6.7-02,CR-004,729ae32cc6531898511fe6affe60c9435a6eed24de48cb550c95ae02cee47953
REG-003,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,PROVENANCE_VALIDITY,ACTIVE,v2.0.0,NS-6.4-02;NS-10.5-01;NS-10.8A-03,CR-005;CR-045;CR-047,8c49f1c7858291c0895018a460521215fe2a044ed0e3f25da9f5275c68a42389
REG-004,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,TENANT_SCOPE,ACTIVE,v2.0.0,NS-11.4-01;NS-11.4-02;NS-11.5-01;NS-11.5-02,CR-026;CR-027;CR-028;CR-029;CR-030,20787ea783f8a8dcf24df6f6df14a0a4526b12ddbd85b7254bcc40f1d36ef361
REG-005,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,GOVERNANCE_DOMAIN_SCOPE,ACTIVE,v2.0.0,NS-14.1-01;NS-14.4-01;NS-14.4-02,CR-072;CR-116,15be09713e546f72b8141481fb5c1b015f0c5a577d73af4938547274597841af
REG-006,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,TENANT_STATE_ADMISSIBILITY,ACTIVE,v2.0.0,NS-7.4-03;NS-11.1-01,CR-006;CR-024;CR-025,30898bddc4668d810126a29144c910ef684486fad2047367a67f6c9df98d0f8e
REG-007,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,CANONICAL_STATE_AVAILABILITY,ACTIVE,v2.0.0,NS-4.6-01;NS-7.4-01,CR-048,98e76ff3a0eab44fd0168844503bda88878c536b33c6e09c16f3aa8b0ddbc39a
REG-008,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,CANONICAL_STATE_INTEGRITY,ACTIVE,v2.0.0,NS-4.6-01;NS-4.6-02;NS-4.6-04;NS-7.4-01,CR-049;CR-050;CR-051;CR-052;CR-103;CR-104,467c2ecec4d45b1a9e439b9ffbdca7b5d3113260b49875365b7fb5cab0ebb2d5
REG-009,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,POLICY_RESOLUTION_COMPLETENESS,ACTIVE,v2.0.0,NS-7.3-02;NS-7.4-01,CR-007;CR-029,c328c2ded7a799a9731e2a987cf7b285c7aac772c9087f08c27a013261b39843
REG-010,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,POLICY_MODULE_VALIDITY,ACTIVE,v2.0.0,NS-5.2.1-01;NS-15.3-02;NS-15.4-01,CR-075;CR-110;CR-113,8fdefd8aee3049649a6ecb59ec7f13b59d605c486f745f88b571b5761fb48f31
REG-011,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,AUTHORITY_LINEAGE_VALIDITY,ACTIVE,v2.0.0,NS-12.1-01;NS-12.4-01;NS-12.4-03,CR-040;CR-044;CR-096;CR-115,34b966049f31765a33c1f82343e5737b034f9a0ab8901b98ad3784775c07008f
REG-012,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,DELEGATION_CONSTRAINTS,ACTIVE,v2.0.0,NS-12.2-02;NS-12.4-01;NS-12.4-02,CR-040;CR-044;CR-072;CR-115;CR-116,d4bcb0f58f379785a1f16b6deca4efda46293dce348edf9817307f311eee69ba
REG-013,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,GOVERNANCE_APPROVAL_REQUIREMENT,ACTIVE,v2.0.0,NS-7.5-01;NS-13.6B-01,CR-002;CR-014;CR-015;CR-016;CR-017;CR-018;CR-058,4b02b3de03e08352a95f0db8dd4e225e5a943351712bc5dd86b5b11b94823d8a
REG-014,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,GOVERNANCE_APPROVAL_QUORUM,ACTIVE,v2.0.0,NS-13.6B-02;NS-13.6B-03,CR-012;CR-013;CR-058;CR-059;CR-060,66c55d77bec52f563aa26153b1662fffb80d68b70b3b468da79c2d312562c91e
REG-015,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,EXCEPTION_VALIDITY,ACTIVE,v2.0.0,NS-15.2-02;NS-15.4-02;NS-15.6B-02,CR-112;CR-113;CR-117,60c1417f0641eeaf0127cdc3b801381b459e41e4dd087f08f77917bb1e836803
REG-016,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,ACTION_REPRESENTATION_IMMUTABILITY,ACTIVE,v2.0.0,NS-6.6-01;NS-9.4-01,CR-019;CR-022;CR-074,1ec999a298d3e318ff5c4844e077fa3d6aeb064d29e405a5bcb7ccac9952c78c
REG-017,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,GOVERNANCE_CONTEXT_VALIDITY,ACTIVE,v2.0.0,NS-6.6-01;NS-6.6A-02;NS-9.4-01,CR-046;CR-070;CR-071,c2bcb02ece8f312e2ebdefc577a24473d36078846b105dd55f5de5291614a7e8
REG-018,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,EXECUTION_AUTHORIZATION_VALIDITY,ACTIVE,v2.0.0,NS-8.4-01;NS-8.4-02;NS-8.5-02,CR-019;CR-020;CR-021;CR-022;CR-023;CR-061,b77b5ee83772758026728a6cbeea914b466c4ae9db0cc6edb5ae11eca2700c3e
REG-019,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,COMMIT_BOUNDARY_PREREQUISITES,ACTIVE,v2.0.0,NS-9.3-02;NS-9.4-01;NS-9.6A-01,CR-019;CR-020;CR-021;CR-084;CR-096;CR-103,4b6181000e61bb4487dfd9697ed59d9b56bf5e3395f524ce84814e328c50ffa7
REG-020,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,CONTINUATION_ADMISSIBILITY,ACTIVE,v2.0.0,NS-13.1-01;NS-13.2-02;NS-13.4-01;NS-13.4-03,CR-091;CR-092;CR-093;CR-098;CR-099;CR-100;CR-101;CR-122,63798527a296f967949616068cee8ed931c99a99fc9048eb6aa9727fc045d0f5
REG-021,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,GOVERNANCE_EVIDENCE_COMPLETENESS,ACTIVE,v2.0.0,NS-10.2-02;NS-10.4-01;NS-10.8-01,CR-041;CR-054;CR-056;CR-062;CR-063;CR-064;CR-065;CR-066;CR-067;CR-068;CR-069;CR-085;CR-086;CR-097,fca31c5f10e5b3bc07e8b5ad9bc233f15ddb7efc3bfe559012d7abda58d3406a
REG-022,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,GOVERNANCE_EVIDENCE_INTEGRITY,ACTIVE,v2.0.0,NS-10.5-01;NS-10.5-02,CR-041;CR-056;CR-064;CR-065;CR-066;CR-067;CR-068;CR-069;CR-085;CR-086;CR-097,954eb7b35ac5396170e0c6e41949a8d902f86cb4cf0fbae8d17feb0fafd78546
REG-023,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,DETERMINISTIC_REPLAY_ADMISSIBILITY,ACTIVE,v2.0.0,NS-10.7-01;NS-10.7-02;NS-10.7-03,CR-008;CR-057;CR-066;CR-082;CR-085;CR-086,67a6a2bd4f6c2fd79ec5ba8eef397b759f253ccc73b3b5ca663b7c325759ab25
REG-024,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,GOVERNANCE_ARTIFACT_INTEGRITY,ACTIVE,v2.0.0,NS-15.1-01;NS-15.4-01;NS-15.4-02,CR-110;CR-111;CR-112;CR-113;CR-114;CR-117,8ee64889c5bf03eafefe72502f3c2a4e11d385bde3857536d019f79b0f2661ff
REG-025,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,GOVERNANCE_ARTIFACT_ACTIVATION_PREREQUISITES,ACTIVE,v2.0.0,NS-15.3-02;NS-15.4-01;NS-15.4-02;NS-15.6A-04,CR-110;CR-111;CR-112;CR-113;CR-114;CR-117,075b6e0abe0a5a4fd8ea2c961a3e85f501d52a3cb7660d65879c5de4259eaf31
REG-026,REG-CONSTRAINT-TYPE,registries/constraint-type-registry.json,CONSTRAINT_TYPE,COORDINATION_PARTICIPANT_AUTHORITY,ACTIVE,v2.0.0,NS-16.4-01;NS-16.6A-02;NS-16.7-02,CR-115;CR-116;CR-118,5b5b9abb2762d1c58128f4b6e547ee51d67f3a7d3faec9405dc1579d16edd9b1
REG-027,REG-INVARIANT-TYPE,registries/invariant-type-registry.json,INVARIANT_TYPE,DETERMINISTIC_GOVERNANCE,ACTIVE,v2.0.0,NS-5.2.1-01;NS-5.2.1-02;NS-5.2.6-01,CR-008;CR-034;CR-073;CR-074;CR-075;CR-076;CR-077;CR-078;CR-089;CR-090,8ec37cd1e9348ed097a1bec0831f1b7f21a6cc3fa11662e236e56e5368f2c6a0
